id	level	topic	flag	answer	note
mh24-10-44	TH	HK.GOC			
mh24-10-45	VDC	ML.LT			
mh24-10-46	NB	TX.NON			
mh24-10-47		HS.TC			
mh24-10-48	VDC	HS.TG			
mh24-10-49		HS.DT			
mh24-10-50	NB	KD.TT			
mh24-12-01	NB	TX.CAU			
mh24-12-02		HS.DT			
mh24-12-03	NB	HS.DT			
mh24-12-04	TH	TX.TRU			
mh24-12-05	NB	ML.PT			
mh24-12-06	TH	ML.PT			
mh24-12-07		HS.CT			
mh24-12-08		HS.TG			
mh24-12-09	NB	HS.DT			
mh24-12-10	NB	ML.BPT			
mh24-12-11		HS.MM			
mh24-12-12	NB	ML.HS			
mh24-12-13	NB	TX.NON			
mh24-12-14	TH	HK.GOC	figure_optional		
mh24-12-15	NB	XS.TH			
mh24-12-16	NB	DS.CSC			
mh24-12-17		HS.CT			
mh24-12-18	TH	KD.TT			
mh24-12-19	TH	ML.LT			
mh24-12-20		ML.HS			
mh24-12-21		HS.DB			
mh24-12-22	TH	HS.CT			
mh24-12-23	TH	XS.CD			
mh24-12-24	NB	HS.TC			
mh24-12-25	TH	HK.GOC			
mh24-12-26	TH	TX.TRU			
mh24-12-27	NB	ML.LT			
mh24-12-28	TH	ML.BPT			
mh24-12-29	VD	TX.TRU			
mh24-12-30	NB	KD.TT			
mh24-12-31	TH	HS.TG			
mh24-12-32	NB	KD.TT	duplicate:mh24-10-50		cùng bài với mh24-10-50 (khác cách viết)
mh24-12-33		KD.TT			
mh24-12-34	TH	ML.HS			
mh24-12-35	NB	KD.TT	duplicate:mh24-06-15		cùng bài với mh24-06-15 (khác cách viết)
mh24-12-36		HS.TG			
mh24-12-37	TH	ML.HS			
mh24-12-38		ML.LT	duplicate:mh24-06-23		cùng đề với mh24-06-23, chỉ đổi thứ tự phương án
mh24-12-39		HS.TG			
mh24-12-40	VDC	KD.TT			
mh24-12-41	TH	ML.TT			
mh24-12-42	VD	TX.TRU			
mh24-12-43	VD	KD.TT			
mh24-12-44		TX.NON	source_corrupted		các phương án mất công thức (chỉ còn 0; 3; 1; 2) trong khi lời giải ra 3a²√2
mh24-12-45	VDC	ML.PT			
mh24-12-46		ML.BPT	source_corrupted		các phương án mất nội dung (chỉ còn 0; 3; 2; 1) trong khi lời giải ra S = 60
mh24-12-47		TX.TRU			
mh24-12-48		HS.DT			
mh24-12-49	VDC	ML.PT			
mh24-12-50	VD	HS.CT			
mh24-13-01		HS.DB	keep		
mh24-13-02	TH	HS.DB	keep		
mh24-13-03	TH	HS.DB	keep		
mh24-13-04		HS.CT	keep		
mh24-13-05		HS.CT	keep		
mh24-13-06	TH	HS.CT	keep		
mh24-13-07	TH	HS.CT	keep		
mh24-13-08	TH	HS.MM	keep		
mh24-13-09		HS.MM	keep		
mh24-13-10	NB	HS.TC	keep		
mh24-13-11		HS.TC	keep		
mh24-13-12	VD	HS.TC	keep		
mh24-13-13		HS.DT	keep		
mh24-13-14		HS.DT	keep		
mh24-13-15	TH	HS.TG			
mh24-13-16	TH	ML.LT	keep		
mh24-13-17	NB	ML.LT	keep		
mh24-13-18	TH	ML.LT	keep		
mh24-13-19	TH	ML.HS	keep		
mh24-13-20	TH	ML.HS	keep		
mh24-13-21	TH	ML.HS	keep		
mh24-13-22	NB	ML.PT	keep		
mh24-13-23	NB	ML.PT	keep		
mh24-13-24	TH	ML.PT	keep		
mh24-13-25	VD	ML.PT	keep		
mh24-13-26	NB	ML.BPT	keep		
mh24-13-27	TH	ML.BPT	keep		
mh24-13-28	NB	KD.KN	duplicate:mh24-10-32		cùng bài với mh24-10-32 (khác cách viết)
mh24-13-29	NB	KD.KN	keep		
mh24-13-30	NB	KD.TT	duplicate:mh24-02-31		cùng bài với mh24-02-31 (cùng hỏi công thức thể tích khối chóp (khối tứ diện))
mh24-13-31	NB	KD.TT	duplicate:mh24-10-50		cùng bài với mh24-10-50 (khác cách viết)
mh24-13-32	NB	KD.TT	keep		
mh24-13-33	TH	KD.TT	keep		
mh24-13-34	NB	TX.NON			
mh24-13-35	TH	TX.NON	keep		
mh24-13-36	NB	TX.TRU			
mh24-13-37	TH	TX.TRU	keep		
mh24-13-38	VD	TX.TRU			
mh24-13-39		HS.DB	keep		
mh24-13-40		HS.CT	keep		
mh24-13-41	VD	HS.MM	keep		
mh24-13-42		HS.DT			
mh24-13-43		HS.TG	keep		
mh24-13-44	VDC	ML.PT	keep		
mh24-13-45	VD	TX.NON			
mh24-13-46	VDC	ML.PT	keep		
mh24-13-47	VDC	ML.PT	keep		
mh24-13-48	VD	ML.BPT			
mh24-13-49	VDC	KD.TT	keep		
mh24-13-50		KD.TT			
mh24-14-01		HS.MM			
mh24-14-02		HS.DT			
mh24-14-03	TH	HS.MM			
mh24-14-04	NB	KD.TT	duplicate:mh24-06-15		cùng bài với mh24-06-15 (khác phương án nhiễu)
mh24-14-05	TH	ML.HS			
mh24-14-06	TH	HS.CT			
mh24-14-07	TH	ML.HS			
mh24-14-08		HS.DB			
mh24-14-09		HS.DT			
mh24-14-10	NB	HS.TC			
mh24-14-11		HS.TC			
mh24-14-12		HS.DB			
mh24-14-13		HS.CT			
mh24-14-14	TH	ML.LT			
mh24-14-15	TH	HS.DB			
mh24-14-16	TH	HS.TC			
mh24-14-17	NB	KD.KN			
mh24-14-18		HS.MM			
mh24-14-19		HS.DB			
mh24-14-20	TH	HS.CT			
mh24-14-21		HS.CT			
mh24-14-22	NB	KD.KN			
mh24-14-23		KD.KN	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-24		HS.MM	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-25		ML.LT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-26		HS.CT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-27		KD.TT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-28		HS.MM	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-29		HS.TG	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-30		HS.CT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-31		ML.LT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-32		KD.TT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-33		HS.TC	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-34		KD.TT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-35		ML.HS	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-36		KD.TT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-37		HS.DB	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-38		KD.KN	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-39		HS.TG	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-40		ML.HS	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-41		HS.DT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-42		KD.TT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-43		HS.MM	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-44		HS.CT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-45		HS.CT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-46		HS.DB	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-47		KD.TT	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-48		HS.DB	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-49		HS.TG	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-14-50		HS.MM	source_corrupted		từ câu 23 file lệch: lời giải ở mỗi câu là của câu kế tiếp và dấu * không khớp lời giải
mh24-15-01	TH	ML.BPT			
mh24-15-02	TH	HS.TT			
mh24-15-03	TH	HS.CT			
mh24-15-04	NB	KD.TT	duplicate:mh24-02-31		cùng bài với mh24-02-31 (cùng hỏi công thức thể tích khối chóp)
mh24-15-05		HS.MM			
mh24-15-06		HS.DT			
mh24-15-07	NB	ML.BPT			
mh24-15-08		ML.LT	source_corrupted		lời giải là của câu khác (đạo hàm hàm logarit y=log_2023(x²+1))
mh24-15-10		HS.TC			
mh24-15-11		ML.HS			lời giải đặt tên lệch với đề (đề: y=a^x, log_b, log_c; lời giải: c^x, log_a, log_b)
mh24-15-12	TH	ML.LT			
mh24-15-13		ML.PT			
mh24-15-14		HS.DB			
mh24-15-15	NB	ML.LT			
mh24-15-16		HS.CT			
mh24-15-17	TH	TX.NON			
mh24-15-18	NB	ML.HS			
mh24-15-19	NB	ML.HS			
mh24-15-20	TH	KD.TT	duplicate:mh24-08-14		cùng bài với mh24-08-14 (khác cách viết)
mh24-15-21	TH	ML.BPT			
mh24-15-22	NB	HS.TC			
mh24-15-23	TH	XS.CD			
mh24-15-24	TH	HS.MM			
mh24-15-25		HS.DT			
mh24-15-26		KD.KN			
mh24-15-27	TH	KD.TT			
mh24-15-28		ML.PT	source_corrupted		lời giải là của câu khác (tương giao, phương trình x³−3x+1=0)
mh24-15-30	TH	HK.GOC			
mh24-15-31	NB	XS.TH			
mh24-15-32	NB	DS.CSC			
mh24-15-33	NB	ML.PT			
mh24-15-34	NB	HK.KC			
mh24-15-35		TX.TRU			
mh24-15-36	VD	KD.TT			
mh24-15-37		KD.TT			
mh24-15-38	VD	ML.LT			
mh24-15-39	VD	HS.CT			
mh24-15-40	VD	TX.TRU	figure_optional		
mh24-15-41	VD	HS.TC			
mh24-15-42		HS.DB			
mh24-15-43	VD	HS.DB			
mh24-15-44	VD	TX.NON			
mh24-15-45	TH	TX.CAU	duplicate:mh24-10-33		cùng bài với mh24-10-33 (khác cách viết)
mh24-15-46	VD	KD.TT			
mh24-15-47	VD	ML.PT			
mh24-15-48		KD.TT	source_corrupted		hai phương án đúng: với m=6, n=2 cả A (2n²−3m=−10<15) lẫn B (m+2n=10) đều đúng; cách viết a√m/n cũng không duy nhất
mh24-15-49	VDC	ML.BPT			file gốc đặt lời giải câu 50 ở cuối lời giải câu 49; bộ đọc đã cắt phần thừa (cờ solution_tail_cut)
mh24-16-01	NB	DS.CSC			
mh24-16-02	NB	XS.TH			
mh24-16-03	TH	HK.GOC	figure_optional		
mh24-16-04		HS.DB			
mh24-16-05		HS.CT			
mh24-16-06	TH	HS.CT			
mh24-16-07	NB	HS.TC			
mh24-16-08	TH	HS.TC			
mh24-16-09		HS.DT			
mh24-16-10		HS.TG			
mh24-16-11	TH	HS.TG			
mh24-16-12		HS.MM			
mh24-16-13	NB	ML.HS			
mh24-16-14	NB	ML.HS			
mh24-16-15	NB	ML.PT			
mh24-16-16	NB	ML.BPT			
mh24-16-17	NB	ML.LT			
mh24-16-18	NB	ML.HS			
mh24-16-19	NB	NH			
mh24-16-20	NB	NH			
mh24-16-21	NB	NH			
mh24-16-22	NB	KD.TT			
mh24-16-23		KD.TT			
mh24-16-24	NB	KD.TT			
mh24-16-25	NB	KD.TT			
mh24-16-26	NB	TX.NON			
mh24-16-27	NB	TX.TRU			
mh24-16-28	NB	TX.NON			
mh24-16-29	TH	XS.CD			
mh24-16-30	VD	HK.KC	figure_optional		
mh24-16-31	TH	HS.DB			
mh24-16-32	TH	HS.MM			
mh24-16-33	VD	HS.TG			
mh24-16-34	TH	ML.LT			
mh24-16-35	TH	ML.BPT			
mh24-16-36	TH	NH			
mh24-16-37		TX.NON	source_corrupted		phương án D bị thay bằng công thức của câu 44 (đối tượng MathType trỏ nhầm)
mh24-16-38	TH	KD.TT			
mh24-16-39	VD	HS.DB			
mh24-16-40		HS.DT			
mh24-16-41	VD	TX.TRU		B	bản gốc: dấu * đặt ở D (100π√11) nhưng V=π·5²·2√11=50π√11 (B); lời giải cũng ra B
mh24-16-42	VD	KD.TT			
mh24-16-43	VD	HS.DB			
mh24-16-44	VDC	ML.BPT			
mh24-16-45	VD	NH			
mh24-16-46	VDC	HS.CT			
mh24-16-47	VDC	HS.MM			
mh24-16-48	VD	KD.TT			
mh24-16-49	VD	ML.LT			
mh24-16-50	VDC	ML.PT			
mh24-17-01		HS.DB			
mh24-17-02	TH	HS.DB		B	bản gốc: dấu * đặt ở C (y=−x³−3x nghịch biến); đáp án đúng là B (y=x³+x), lời giải cũng ra B
mh24-17-03		HS.CT			
mh24-17-04	NB	HS.TC			
mh24-17-05		HS.MM			
mh24-17-06		HS.DT	figure_implicit		đề nhắc "đường cong dưới đây" nhưng file gốc không có hình
mh24-17-07	NB	ML.PT			
mh24-17-08	TH	ML.BPT			
mh24-17-09	NB	ML.LT			
mh24-17-10	NB	ML.HS			
mh24-17-11	NB	NH			
mh24-17-12	NB	NH			
mh24-17-13	NB	DS.CSN			
mh24-17-14	NB	TX.TRU			
mh24-17-15	NB	XS.TH			
mh24-17-16		KD.KN			
mh24-17-17		KD.KN			
mh24-17-18	NB	KD.TT	keep		giữ làm bản chính: bản trùng mh24-14-36 hỏng vì file đề 14 lệch lời giải từ câu 23
mh24-17-19	NB	KD.TT			
mh24-17-20	NB	TX.CAU			
mh24-17-21	NB	TX.NON			
mh24-17-22		HS.TG			
mh24-17-23	TH	HS.CT			
mh24-17-24	TH	HS.MM			
mh24-17-25	TH	HS.TG			
mh24-17-26	TH	HS.TT			
mh24-17-27		ML.HS			
mh24-17-28	TH	ML.HS			
mh24-17-29	TH	ML.BPT			
mh24-17-30	TH	NH			
mh24-17-31	TH	TX.NON			
mh24-17-32	TH	KD.TT			
mh24-17-33	TH	TX.TRU			
mh24-17-34	TH	ML.PT			
mh24-17-35	TH	TX.TRU			
mh24-17-36	TH	HK.GOC			
mh24-17-37	VD	HS.TC			
mh24-17-38	TH	XS.CD			
mh24-17-39	VD	KD.TT			
mh24-17-40	VD	ML.PT			
mh24-17-41	VD	HK.KC			
mh24-17-42	VD	ML.BPT			
mh24-17-43	VD	HS.DB			
mh24-17-44	VD	HS.MM			
mh24-17-45	VD	TX.CAU			
mh24-17-46	VDC	KD.TT			
mh24-17-47		ML.BPT	solution_typo		bản này kết luận đúng 20 nhưng vẫn ghi f'(t)<0 rồi nói đồng biến (cùng lỗi với mh24-04-47)
mh24-17-48	VDC	ML.HS			
mh24-17-49	VDC	HS.TG			
mh24-17-50	VDC	HS.CT			
mh24-18-01	TH	HK.QH			
mh24-18-02	NB	LG.PT			
mh24-18-03	NB	ML.LT			
mh24-18-04	NB	ML.LT			
mh24-18-05		HS.DB			
mh24-18-06	NB	ML.LT			
mh24-18-07	NB	KD.TT			
mh24-18-08	NB	TX.CAU			
mh24-18-09	NB	ML.HS			
mh24-18-10	NB	ML.PT			
mh24-18-11	TH	TX.TRU			
mh24-18-12	NB	ML.LT			
mh24-18-13	TH	TX.NON			lời giải gọi đỉnh là O (đề gọi là S), vẫn theo dõi được
mh24-18-14	NB	TX.TRU			
mh24-18-16	NB	ML.PT			
mh24-18-18	NB	KD.TT			
mh24-18-19		HS.MM			
mh24-18-20	NB	KD.TT			
mh24-18-21	TH	KD.TT			
mh24-18-22	TH	HS.MM			
mh24-18-23	NB	TX.TRU			
mh24-18-24	TH	HS.TG			
mh24-18-25	TH	ML.HS			
mh24-18-26		HS.DT			
mh24-18-27	TH	TX.NON			
mh24-18-28	NB	KD.KN			
mh24-18-29	NB	ML.BPT			
mh24-18-30	TH	HS.DB			
mh24-18-31	TH	GH			
mh24-18-32		HS.TG			
mh24-18-33	VD	HS.CT			
mh24-18-34	VD	XS.TH			
mh24-18-35	TH	HS.TT			
mh24-18-36	VD	HS.TC			
mh24-18-37	VD	HS.DB			
mh24-18-38	VD	ML.LT			
mh24-18-39	VD	ML.TT			
mh24-18-40	VD	HK.KC		A	bản gốc: lời giải chứng minh d(M)=½d(A) rồi dừng ở d(A)=4√3/3; dấu * đặt ở D theo d(A); đáp án đúng là 2√3/3 (A)
mh24-18-41		ML.BPT			
mh24-18-42	VD	KD.TT			
mh24-18-43		HS.TG			
mh24-18-44	VD	TX.NON	figure_optional		
mh24-18-45		KD.TT			
mh24-18-46	VD	ML.PT			
mh24-18-47	VD	HS.CT			
mh24-18-48		ML.PT		C	lời giải dựa vào đồ thị dạng hình (vẫn bị chặn); đáp án đã sửa thành C
mh24-18-49	VD	ML.LT			
mh24-18-50		HS.TU			
mh24-19-03	TH	ML.BPT			
mh24-19-05	TH	ML.BPT			
mh24-19-06		ML.LT	solution_trivial		lời giải chỉ ghi kết quả x^(3/8), không có bước biến đổi
mh24-19-07	NB	ML.HS			
mh24-19-08	NB	DS.CSC			
mh24-19-09		HS.MM			
mh24-19-10	TH	ML.PT			
mh24-19-11	NB	KD.TT	duplicate:mh24-09-35		cùng bài với mh24-09-35 (khác cách ghi phương án)
mh24-19-12	TH	TX.NON			
mh24-19-13	NB	TX.NON			
mh24-19-14	TH	HS.CT			
mh24-19-15	TH	ML.HS			
mh24-19-16	NB	ML.HS			
mh24-19-17	NB	TX.TRU			
mh24-19-19	TH	KD.TT			
mh24-19-20	NB	ML.HS			
mh24-19-21	TH	KD.TT			
mh24-19-22	TH	HS.DB			
mh24-19-23	NB	TX.TRU			
mh24-19-24	TH	KD.TT			
mh24-19-25	TH	HS.DB			
mh24-19-26	NB	HS.CT			
mh24-19-27	NB	TX.CAU		C	bản gốc: mặt cầu bán kính 2R có diện tích 4π(2R)²=16πR² (C); dấu * và lời giải lấy nhầm bán kính R
mh24-19-28	NB	TX.CAU			
mh24-19-29	TH	HS.TG			
mh24-19-30	NB	HS.TC			
mh24-19-31		HS.DT			
mh24-19-32	NB	XS.TH			
mh24-19-33	NB	ML.LT			
mh24-19-34		HS.MM			
mh24-19-35	TH	HK.KC			
mh24-19-36	VD	ML.BPT			
mh24-19-37	VDC	ML.BPT			
mh24-19-38	VDC	ML.PT			
mh24-19-39	VD	XS.CD			
mh24-19-40		HS.CT			
mh24-19-41	VD	HS.MM			
mh24-19-42	VDC	TX.CAU			
mh24-19-43	VDC	KD.TT			
mh24-19-44		TX.TRU			
mh24-19-46	VD	HS.CT			
mh24-19-47	TH	HK.GOC			
mh24-19-48	VD	ML.PT			
mh24-19-50	VD	KD.TT			
mh24-20-02		HS.DB			
mh24-20-03	TH	ML.BPT			
mh24-20-04	NB	ML.LT			
mh24-20-05	NB	HS.TC			
mh24-20-06	NB	DS.CSC			
mh24-20-07	NB	TX.CAU			
mh24-20-08	NB	TX.NON	duplicate:mh24-10-42		cùng bài với mh24-10-42 (khác một phương án nhiễu)
mh24-20-09	TH	HK.GOC	figure_optional		
mh24-20-10		HS.DB			
mh24-20-11	NB	OX.MC			
mh24-20-12	NB	KD.KN			
mh24-20-13	NB	ML.BPT			
mh24-20-14	NB	ML.PT			
mh24-20-15	TH	TP			
mh24-20-16	NB	KD.TT			
mh24-20-17		HS.CT			
mh24-20-18	NB	ML.HS			
mh24-20-19		HS.MM			
mh24-20-20	NB	XS.TH			
mh24-20-21	NB	ML.LT			
mh24-20-22	NB	HS.DT			
mh24-20-23	TH	OX.TD			
mh24-20-24	NB	NH			
mh24-20-25	TH	UD.DT			
mh24-20-26		HS.DT			
mh24-20-27	TH	HK.GOC	figure_optional		
mh24-20-28	TH	HS.CT			
mh24-20-29	VD	TX.TRU			
mh24-20-30	TH	HS.DB			
mh24-20-31	TH	OX.DT			
mh24-20-32	TH	NH			
mh24-20-33	TH	ML.PT			
mh24-20-34	TH	TP			
mh24-20-35	TH	XS.CD			
mh24-20-36	TH	ML.PT			
mh24-20-37	VD	HK.KC			
mh24-20-38	VD	TX.CAU			
mh24-20-39	TH	OX.MC			
mh24-20-40	VD	OX.TD			
mh24-20-41	VD	TP			
mh24-20-42	VD	KD.TT			
mh24-20-43	VD	OX.MC			
mh24-20-44	VD	HS.CT			
mh24-20-45		HS.MM			
mh24-20-46		HS.DB			
mh24-20-47	VDC	ML.PT			
mh24-20-49	VD	ML.BPT			
mh24-20-50	VD	NH			
mh24-21-01	NB	DS.CSC			
mh24-21-02	NB	ML.HS			
mh24-21-03	TH	ML.PT			
mh24-21-04	TH	HS.CT			
mh24-21-05		HS.CT			
mh24-21-06	TH	HS.TC			
mh24-21-07	NB	TX.NON			
mh24-21-08	NB	ML.HS			
mh24-21-10	TH	HS.MM			
mh24-21-11	NB	ML.HS			
mh24-21-12		KD.KN			
mh24-21-13	NB	KD.TT			
mh24-21-14	TH	KD.TT	figure_optional		
mh24-21-15	NB	OX.TD			
mh24-21-16		HS.DT			
mh24-21-17	NB	NH			
mh24-21-18		HS.TC			
mh24-21-19	TH	ML.LT			
mh24-21-20	NB	XS.TH			
mh24-21-21		HS.MM			
mh24-21-22	TH	ML.BPT			
mh24-21-23	NB	ML.BPT			
mh24-21-24	NB	NH			
mh24-21-25	TH	HK.GOC			
mh24-21-26	NB	OX.MC			
mh24-21-27	TH	HS.DB		C	bản gốc: y'=−4x(x²−1)>0 trên (−∞;−1) và (0;1) nên đáp án đúng là C (0;1); dấu * và lời giải chọn (1;+∞) là khoảng nghịch biến
mh24-21-28	NB	ML.PT			
mh24-21-29	TH	TX.TRU		A	bản gốc: quay quanh MN được khối trụ r=a, h=4a nên V=4πa³ (A); dấu * ở B (16πa³), lời giải lại ra 2πa³
mh24-21-30	TH	KD.KN	figure_optional		
mh24-21-31	NB	HS.DB			
mh24-21-33	NB	TX.TRU	duplicate:mh24-04-28		cùng bài với mh24-04-28 (khác phương án nhiễu)
mh24-21-36	VD	XS.CD			
mh24-21-37	VD	OX.TD			
mh24-21-38		HS.DT			
mh24-21-39	TH	NH			
mh24-21-40	VD	HK.KC			
mh24-21-41		HS.CT			
mh24-21-42	VD	ML.LT			
mh24-21-43	VDC	ML.PT		B	bản gốc: t=log₃cos²x ≤ 0 (t=0 khi cos x=±1, lúc đó vế trái bằng 1) nên m=0 và m=6 vẫn có nghiệm; vô nghiệm khi 0<m<6: 5 giá trị (B); lời giải lấy t<0 nên ra 7
mh24-21-44		HS.TC			
mh24-21-45	VD	TX.NON			
mh24-21-46	VDC	ML.LT			
mh24-21-47	VDC	HK.KC			
mh24-21-48	VD	KD.TT			
mh24-21-49		HS.DB			
mh24-22-01	NB	OX.TD			
mh24-22-02	NB	HS.TC			
mh24-22-03	TH	HS.CT			
mh24-22-04	NB	NH			
mh24-22-05	NB	KD.TT			
mh24-22-09	NB	TX.CAU			
mh24-22-10		HS.TG			
mh24-22-11	NB	NH			
mh24-22-12	NB	ML.HS			
mh24-22-13	TH	HS.CT			
mh24-22-15		HS.DT			
mh24-22-17	NB	ML.BPT			
mh24-22-18	NB	ML.PT			
mh24-22-21	NB	ML.PT			
mh24-22-22	TH	NH			
mh24-22-23	TH	KD.TT			
mh24-22-24	TH	TX.TRU			
mh24-22-25	TH	KD.TT			
mh24-22-26	TH	XS.TH			
mh24-22-27	TH	HS.MM			
mh24-22-28	TH	UD.TTe			
mh24-22-29	NB	TX.CAU			
mh24-22-30		HS.TC			
mh24-22-31	TH	TX.NON			
mh24-22-32	NB	ML.LT			
mh24-22-33	TH	KD.TT			
mh24-22-34	TH	KD.TT			
mh24-22-35	NB	DS.CSC			
mh24-22-36	TH	TX.CAU			
mh24-22-37	VD	ML.PT			
mh24-22-38		HS.DB			
mh24-22-39	VD	HS.MM			
mh24-22-40	VD	OX.TD		A	bản gốc: ABCD là hình thang đáy AD nên AD cùng hướng BC (AD=3BC): chỉ có D(−17;−3;4) (A); lời giải nhận cả AD=−3BC (tứ giác tự cắt) và ghi nhầm D(13;9;−2) thành D(12;9;−2)
mh24-22-41	VD	KD.TT			
mh24-22-42		NH			
mh24-22-43	VD	ML.PT			
mh24-22-44		TX.TRU			
mh24-22-45	VD	HS.TG			
mh24-22-46	VD	ML.BPT			
mh24-22-47	VD	KD.TT			
mh24-22-48	VDC	TX.CAU			
mh24-22-49	TH	OX.TD			
mh24-23-01		HS.CT			
mh24-23-02	NB	ML.LT			
mh24-23-07	NB	ML.PT			
mh24-23-09	NB	ML.HS			
mh24-23-10	NB	UD.DT			
mh24-23-12	NB	SP.PT			
mh24-23-13		HS.DB			
mh24-23-14	NB	TX.CAU			
mh24-23-15	TH	NH			
mh24-23-16		ML.HS			
mh24-23-17	NB	ML.BPT			
mh24-23-19	NB	TX.TRU			
mh24-23-22	NB	TP		B	bản gốc: ∫₀²f(x)dx=F(2)−F(0)=−3−5=−8 (B); dấu * và lời giải ghi 8
mh24-23-23		HS.TC			
mh24-23-24	NB	SP.PT			
mh24-23-26	TH	HS.DB			
mh24-23-27	TH	SP.PT			
mh24-23-28	TH	HK.KC	figure_optional		
mh24-23-30	TH	XS.CD			
mh24-23-31	TH	HS.MM			
mh24-23-32	TH	TP			
mh24-23-33	TH	HK.GOC			
mh24-23-35	NB	OX.MC			
mh24-23-36	NB	OX.MP			
mh24-23-37	TH	ML.PT			
mh24-23-39		HS.TG			
mh24-23-40	VDC	SP.MD		D	bản gốc: với m=1 và m=11 điểm tiếp xúc là z=6 (z/(z−6) không xác định) nên loại; chỉ còn m=±5 (z=0) nên tổng bằng 0 (D); dấu * và lời giải ra 12
mh24-23-42	TH	KD.TT			
mh24-23-43	VD	UD.TT			
mh24-23-44	TH	OX.DT			
mh24-23-45	VD	TX.NON			
mh24-23-46	VDC	TP.HA			
mh24-23-50	VDC	OX.GK			
mh24-24-02	TH	DS.CSC			
mh24-24-03	TH	OX.TD			
mh24-24-04	NB	ML.BPT			
mh24-24-05		HS.TC			
mh24-24-06	TH	HS.CT			
mh24-24-08	NB	KD.TT			
mh24-24-11	NB	TX.TRU			
mh24-24-13	NB	TP			
mh24-24-14	NB	ML.LT			
mh24-24-15	NB	ML.PT			
mh24-24-16		HS.DT			
mh24-24-17	NB	NH			
mh24-24-18	TH	OX.TD			
mh24-24-19	NB	ML.HS			
mh24-24-20		HS.DB			
mh24-24-21	TH	ML.BPT			
mh24-24-22	TH	ML.PT			
mh24-24-23	TH	XS.CD	duplicate:mh24-17-38		cùng bài với mh24-17-38 (khác cách viết)
mh24-24-24	TH	NH			
mh24-24-25	TH	HK.GOC	figure_optional	B	bộ đọc bắt nhầm đáp án D trong lời giải; lời giải và dấu * đều ra 45° (B)
mh24-24-26	TH	KD.TT			
mh24-24-27		HS.DT			
mh24-24-28	VD	HK.KC			
